number,value,params_pca_components,params_selector_threshold,params_train_eta,params_train_max_depth,params_use_feature_gen,params_use_pca,state
125,0.05604121973243189,15,0*mean,0.021401134932567532,7,False,False,COMPLETE
126,0.05605727698746103,15,0*mean,0.03164722157715209,7,False,False,COMPLETE
127,0.056045680087535854,15,0*mean,0.0217953512974477,7,False,False,COMPLETE
128,0.05613306833583742,15,0*mean,0.012641075198131768,6,True,False,COMPLETE
129,0.056979214367281414,15,0*mean,0.01912287926651241,12,False,False,COMPLETE
130,0.05604763141386295,15,0*mean,0.02359342549069225,7,False,False,COMPLETE
131,0.056035815071313055,15,0*mean,0.012063545512670167,7,False,False,COMPLETE
132,0.056036883468658906,15,0*mean,0.012202494763303755,7,False,False,COMPLETE
133,0.05603295598426172,15,0*mean,0.011934310002774725,7,False,False,COMPLETE
134,0.05603535710468731,15,0*mean,0.01167835437319773,7,False,False,COMPLETE
135,0.05603574773526202,15,0*mean,0.011891717769780158,7,False,False,COMPLETE
136,0.05603613185577762,15,0*mean,0.011742239837380923,7,False,False,COMPLETE
137,0.05609321127437176,15,0*mean,0.011880751459403448,6,False,False,COMPLETE
138,0.06163214337810617,15,0.5*mean,0.011523139619607438,7,False,False,COMPLETE
139,0.05603721030621093,15,0*mean,0.011749476007311379,7,False,False,COMPLETE
140,0.056091048155130684,15,0*mean,0.012577984304830911,6,False,False,COMPLETE
141,0.056035385102528,15,0*mean,0.011658518754503768,7,False,False,COMPLETE
142,0.05603775457556116,15,0*mean,0.011789658286728245,7,False,False,COMPLETE
143,0.05603928341070974,15,0*mean,0.012300997194611312,7,False,False,COMPLETE
144,0.05603807884396049,15,0*mean,0.01179158807670793,7,False,False,COMPLETE
145,0.05603787052141881,15,0*mean,0.011484181571430696,7,False,False,COMPLETE
146,0.05603542992986503,15,0*mean,0.013105988585230297,7,False,False,COMPLETE
147,0.05623331313717592,15,0.25*mean,0.013297674473887935,7,False,False,COMPLETE
148,0.056036851397141686,15,0*mean,0.012493306447441097,7,False,False,COMPLETE
149,0.061632205557887274,15,0.75*mean,0.012781874952672762,6,False,False,COMPLETE
150,0.05611443977869964,15,0*mean,0.01093229068777616,7,True,False,COMPLETE
151,0.056039025195302204,15,0*mean,0.012570102192756824,7,False,False,COMPLETE
152,0.056036834388015974,15,0*mean,0.011445877616170526,7,False,False,COMPLETE
153,0.05603461719610986,15,0*mean,0.0109035838505265,7,False,False,COMPLETE
154,0.05604030107624677,15,0*mean,0.010854426676892934,7,False,False,COMPLETE
155,0.0561448833085532,15,0*mean,0.08991509785277954,7,False,False,COMPLETE
156,0.05603819749371114,15,0*mean,0.012877829746271973,7,False,False,COMPLETE
157,0.06163199870069373,15,mean,0.01113959472840539,7,False,False,COMPLETE
158,0.05609640582851625,15,0*mean,0.012000245628990302,6,False,False,COMPLETE
159,0.056086948233592594,20,0*mean,0.05087966755390887,7,False,False,COMPLETE
160,0.056035455568794655,15,0*mean,0.010799060421148223,7,False,False,COMPLETE
161,0.05609587406677804,15,0*mean,0.010650631897927174,6,False,False,COMPLETE
162,0.05603902532960355,15,0*mean,0.011429488990836479,7,False,False,COMPLETE
163,0.05604037570056959,10,0*mean,0.013453978114788486,7,False,False,COMPLETE
164,0.05603595130285618,15,0*mean,0.010697686367662813,7,False,False,COMPLETE
165,0.05603629212742298,15,0*mean,0.011076804069975025,7,False,False,COMPLETE
166,0.05603576519705328,15,0*mean,0.0106239108649442,7,False,False,COMPLETE
167,0.05603454837649395,15,0*mean,0.01071546103364954,7,False,False,COMPLETE
168,0.056035846005872914,15,0*mean,0.010518240649472465,7,False,False,COMPLETE
169,0.056038312989678395,15,0*mean,0.010695526752659919,7,False,False,COMPLETE
170,0.056034901196388334,15,0*mean,0.010757626764432638,7,False,False,COMPLETE
171,0.06163169495808148,15,0.5*mean,0.011034810667834979,7,False,False,COMPLETE
172,0.05603212519017996,15,0*mean,0.01004293994739425,7,False,False,COMPLETE
173,0.056036177782757754,15,0*mean,0.01057633275889443,7,False,False,COMPLETE
174,0.05603605087313278,15,0*mean,0.01008459427168244,7,False,False,COMPLETE
175,0.05603765064375833,15,0*mean,0.01043583580581852,7,False,False,COMPLETE
176,0.0560364754232552,15,0*mean,0.010040167834918035,7,False,False,COMPLETE
177,0.056034629972789164,15,0*mean,0.010715408516039198,7,False,False,COMPLETE
178,0.056034973432518474,15,0*mean,0.010771857449913696,7,False,False,COMPLETE
179,0.05603606742212077,15,0*mean,0.010629325561955259,7,False,False,COMPLETE
180,0.05626534096933482,15,0.25*mean,0.010389162683767193,6,True,False,COMPLETE
181,0.05603453107817187,15,0*mean,0.01079390101449131,7,False,False,COMPLETE
182,0.056035442739584315,15,0*mean,0.010741841478973807,7,False,False,COMPLETE
183,0.056034579950899985,15,0*mean,0.011067071709935584,7,False,False,COMPLETE
184,0.05603394944947736,15,0*mean,0.011015118361873652,7,False,False,COMPLETE
185,0.05626697784413156,15,0*mean,0.1507108985399993,7,False,False,COMPLETE
186,0.05603748560994746,15,0*mean,0.011361681027972923,7,False,False,COMPLETE
